9,5) $500 - $750,675.83,1,0,Rural,1,Web,Mens E-Mail,0,0,0,1,6.515941565126805,6.5
9,5) $500 - $750,675.07,1,1,Rural,1,Phone,Mens E-Mail,0,0,0,1,6.5148163891993764,6.5
4,3) $200 - $350,241.42,0,1,Rural,1,Multichannel,No E-Mail,0,0,0,0,5.486538155272981,5.5
3,1) $0 - $100,58.13,1,0,Urban,1,Web,No E-Mail,1,0,0,0,4.062681881713259,4.1000000000000005
5,"6) $750 - $1,000",828.42,1,0,Surburban,1,Multichannel,Mens E-Mail,0,0,0,1,6.719520272156116,6.7
9,1) $0 - $100,29.99,0,1,Surburban,1,Phone,No E-Mail,0,0,0,0,3.4008639927609177,3.4000000000000004
2,1) $0 - $100,29.99,0,1,Urban,1,Phone,No E-Mail,0,0,0,0,3.4008639927609177,3.4000000000000004
4,1) $0 - $100,78.24,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,4.359781025726562,4.4
2,3) $200 - $350,203.35,1,0,Rural,0,Web,No E-Mail,0,0,0,0,5.314928632353234,5.300000000000001
9,3) $200 - $350,334.24,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,5.8118592978082555,5.800000000000001
1,5) $500 - $750,514.52,0,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,6.243234427210514,6.2
4,"6) $750 - $1,000",766.47,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0,1,6.641795558602672,6.6000000000000005
7,5) $500 - $750,520.43,0,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,6.254655392939876,6.300000000000001
1,1) $0 - $100,48.32,0,1,Urban,0,Web,No E-Mail,0,0,0,0,3.8778455536265595,3.9000000000000004
10,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,3.4008639927609177,3.4000000000000004
1,5) $500 - $750,729.7,1,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,6.592633490771575,6.6000000000000005
3,3) $200 - $350,203.3,0,1,Surburban,0,Web,No E-Mail,0,0,0,0,5.314682720634301,5.300000000000001
12,2) $100 - $200,150.06,0,1,Surburban,0,Phone,No E-Mail,0,0,0,0,5.011035214117583,5.0
6,1) $0 - $100,42.66,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,3.753261713043204,3.8000000000000003
9,5) $500 - $750,506.83,1,0,Rural,1,Multichannel,Mens E-Mail,0,0,0,1,6.2281756416437295,6.2
11,1) $0 - $100,53.81,1,0,Urban,1,Phone,No E-Mail,0,0,0,0,3.9854593235013285,4.0
2,3) $200 - $350,278.8,1,0,Rural,0,Web,Mens E-Mail,0,0,0,1,5.630494678886369,5.6000000000000005
2,4) $350 - $500,428.74,1,0,Rural,0,Phone,Mens E-Mail,0,0,0,1,6.06085067459299,6.1000000000000005
11,3) $200 - $350,228.09,0,1,Surburban,1,Web,No E-Mail,0,0,0,0,5.429740287908455,5.4
