9,5) $500 - $750,675.83,1,0,Rural,1,Web,Mens E-Mail,0,0,0,1,0.5,1,0.4759670905292863
9,5) $500 - $750,675.07,1,1,Rural,1,Phone,Mens E-Mail,0,0,0,1,0.5,1,0.5801773786612937
2,2) $100 - $200,101.64,0,1,Urban,0,Web,Mens E-Mail,1,0,0,1,0.5,1,0.09915866558626085
5,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Mens E-Mail,0,0,0,1,0.5,1,0.5807261058504157
9,2) $100 - $200,112.35,1,0,Rural,0,Web,Mens E-Mail,0,0,0,1,1,0.5,0.40394911956317403
11,3) $200 - $350,219.04,1,1,Surburban,0,Phone,Mens E-Mail,0,0,0,1,1,0.5,0.43755903019674547
5,"6) $750 - $1,000",828.42,1,0,Surburban,1,Multichannel,Mens E-Mail,0,0,0,1,0.5,1,0.9811688780524684
9,1) $0 - $100,29.99,0,1,Surburban,1,Phone,No E-Mail,0,0,0,0,1,0.5,0.35068052625052104
2,2) $100 - $200,118.4,1,0,Surburban,0,Web,Mens E-Mail,1,0,0,1,0.5,1,0.24551144045361062
2,1) $0 - $100,29.99,0,1,Urban,1,Phone,No E-Mail,0,0,0,0,0.5,1,0.07764885615423178
6,2) $100 - $200,139.87,0,1,Rural,1,Web,Mens E-Mail,0,0,0,1,1,0.5,0.0066815688424036734
6,2) $100 - $200,162.98,0,1,Surburban,0,Web,Mens E-Mail,0,0,0,1,1,0.5,0.25606309563313434
7,4) $350 - $500,435.73,0,1,Urban,1,Web,No E-Mail,0,0,0,0,0.5,1,0.1751146319004222
2,3) $200 - $350,203.35,1,0,Rural,0,Web,No E-Mail,0,0,0,0,0.5,1,0.257930675949392
9,3) $200 - $350,334.24,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,0.5,1,0.8352627869777508
6,2) $100 - $200,128.01,0,1,Urban,0,Web,Mens E-Mail,0,0,0,1,1,0.5,0.4667936406671588
1,5) $500 - $750,514.52,0,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,0.5,1,0.28558455378006464
4,"6) $750 - $1,000",766.47,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0,1,0.5,1,0.2146421123899287
7,5) $500 - $750,520.43,0,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,0.5,1,0.9775525313107422
3,1) $0 - $100,99.23,1,0,Rural,0,Web,Mens E-Mail,1,0,0,1,0.5,1,0.9080578561686642
1,1) $0 - $100,48.32,0,1,Urban,0,Web,No E-Mail,0,0,0,0,0.5,1,0.15647436701518602
10,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,1,0.5,0.9183616163290124
2,4) $350 - $500,391.33,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,0.5,1,0.024488341054783813
1,5) $500 - $750,729.7,1,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,0.5,1,0.0464581675452308
3,3) $200 - $350,203.3,0,1,Surburban,0,Web,No E-Mail,0,0,0,0,0.5,1,0.17537753049822113
7,1) $0 - $100,29.99,0,1,Urban,1,Phone,Mens E-Mail,0,0,0,1,1,0.5,0.35583203567696353
